Date,Open,High,Low,Close
2017-06-12,148.169998,149.199997,144.559998,148.440002
2017-06-13,150.149994,151.179993,148.899994,150.679993
2017-06-14,151.259995,152.399994,149.050003,150.25
2017-06-15,147.669998,150.039993,146.369995,149.800003
2017-06-16,149.589996,150.830002,148.600006,150.639999
2017-06-19,151.710007,153.570007,151.710007,152.869995
2017-06-20,152.880005,153.839996,152.210007,152.25
2017-06-21,152.360001,154.080002,151.880005,153.910004
2017-06-22,153.009995,154.550003,152.910004,153.399994
2017-06-23,152.720001,155.199997,152.649994,155.070007
2017-06-26,156.25,156.5,153.199997,153.589996
2017-06-27,152.839996,153.309998,150.389999,150.580002
2017-06-28,150.919998,153.470001,149.860001,153.240005
2017-06-29,152.279999,152.5,148.919998,151.039993
2017-06-30,151.899994,151.919998,150.059998,150.979996
2017-07-03,151.720001,152.149994,147.800003,148.429993
2017-07-05,149,150.850006,148.130005,150.339996
2017-07-06,149.029999,150.039993,148,148.820007
2017-07-07,149.25,151.990005,149.190002,151.440002
